CASM-OC Iowa    oxbow:  2010.000
fktrN  1.0000                                                                                   
fktrP  1.0000                                                                                         
fktrS  1.0000                                                                                         
                   Te      Th      I0         N       P       Si      depth   velocit TIS     POCe    wind    salinity
             DOY   C       C       eins/m2    mg/L    mg/L    mg/L    m       m/s     mg/L    mg/L    m/s     psu
--------------------------------------------------------------------------------------------------------------------
             211  23.250  23.250  62.240      0.949   0.140  12.808   1.200   0.010  40.500   0.687   4.020   0.000
             212  23.800  23.800  76.182      0.948   0.136  10.853   1.200   0.004  59.500   0.594   1.510   0.000
             213  23.700  23.700  84.172      0.948   0.134  10.415   1.200   0.005  60.500   0.529   1.910   0.000
             214  24.700  24.700  64.930      0.947   0.131  10.793   1.200   0.008 101.000   0.453   3.280   0.000
             215  24.600  24.600  90.694      0.947   0.128  10.448   1.200   0.004  78.000   0.335   1.760   0.000
             216  24.200  24.200  71.534      0.946   0.126  10.068   1.200   0.009  69.500   1.172   3.790   0.000
             217  23.600  23.600  79.280      0.946   0.123  10.218   1.200   0.010  59.000   0.840   3.940   0.000
             218  23.000  23.000  84.009      0.946   0.121  10.805   1.200   0.005  54.500   1.374   1.810   0.000
             219  24.300  24.300  78.057      0.945   0.119  11.800   1.200   0.002  49.500   0.694   0.890   0.000
             220  23.400  23.400  86.128      0.945   0.117  10.873   1.200   0.003  42.000   0.725   1.390   0.000
             221  23.800  23.800  68.844      0.944   0.115  10.564   1.200   0.009  49.000   0.712   3.520   0.000
             222  23.200  23.200  78.872      0.944   0.114  10.460   1.200   0.007  53.500   0.727   2.730   0.000
             223  23.550  23.550  86.210      0.944   0.112   9.876   1.200   0.006  45.000   0.903   2.550   0.000
             224  23.450  23.450  82.378      0.943   0.111  10.254   1.200   0.009  58.000   0.577   3.670   0.000
             225  23.100  23.100  76.345      0.943   0.109  10.278   1.200   0.009  56.000   0.597   3.670   0.000
             226  23.700  23.700  64.523      0.943   0.108  12.022   1.200   0.004  53.500   0.673   1.460   0.000
             227  23.400  23.400  82.623      0.942   0.107  12.078   1.200   0.012  48.500   0.622   4.920   0.000
             228  23.200  23.200  73.083      0.942   0.106  11.412   1.200   0.011  45.550   0.694   4.520   0.000
             229  23.600  23.600  47.972      0.942   0.106  11.402   1.200   0.007  52.300   0.711   2.820   0.000
             230  23.200  23.200  79.769      0.941   0.105  11.434   1.200   0.009  39.750   1.140   3.730   0.000
             231  23.500  23.500  74.877      0.941   0.105  11.404   1.200   0.007  31.400   0.708   2.880   0.000
             232  22.100  22.100  52.375      0.941   0.104  12.078   1.200   0.006  30.500   0.450   2.250   0.000
             233  21.800  21.800  81.155      0.941   0.104  13.105   1.200   0.010  34.000   0.521   4.120   0.000
             234  22.350  22.350  84.987      0.940   0.104  11.500   1.200   0.011  47.500   0.504   4.560   0.000
             235  22.450  22.450  78.546      0.940   0.104  11.615   1.200   0.008  43.000   0.525   3.070   0.000
             236  23.150  23.150  64.604      0.940   0.104  12.138   1.200   0.007  49.500   0.529   2.970   0.000
             237  22.250  22.250  84.824      0.940   0.105  11.092   1.200   0.004  51.000   0.376   1.670   0.000
             238  21.800  21.800  83.356      0.940   0.105  11.198   1.200   0.002  44.500   0.407   0.930   0.000
             239  22.200  22.200  84.172      0.940   0.106  10.770   1.200   0.005  38.000   0.464   2.030   0.000
             240  21.650  21.650  85.721      0.940   0.107   9.672   1.200   0.007  27.000   0.511   2.790   0.000
